fine_id,borrow_id,user_id,fine_amount,fine_status
F184,BR184,U184,40,Paid
F185,BR185,U185,50,Pending
F186,BR186,U186,60,Paid
F187,BR187,U187,70,Pending
F188,BR188,U188,80,Paid
F189,BR189,U189,90,Pending
F190,BR190,U190,0,Paid
F191,BR191,U191,10,Pending
F192,BR192,U192,20,Paid
F193,BR193,U193,30,Pending
F194,BR194,U194,40,Paid
F195,BR195,U195,50,Pending
F196,BR196,U196,60,Paid
F197,BR197,U197,70,Pending
F198,BR198,U198,80,Paid
F199,BR199,U199,90,Pending
F200,BR200,U200,0,Paid
